City,Long,Lat
Los Angeles,-118.243683,34.052235
San Diego,-117.161087,32.715736
San Jose,-121.893028,37.33548
San Francisco,-122.446747,37.733795
Fresno,-119.772591,36.746841
Sacramento,-121.478851,38.575764
